name,norad,shell,weather,start_alt_km,final_truth_vs_nominal_km,max_truth_vs_nominal_km,final_truth_vs_sgp4_km,max_truth_vs_sgp4_km,completed_hours
STARLINK-5049,57246,43deg,quiet,483.6301536327337,5.759549586956135,5.759549586956135,18.76905933982444,18.776800773891722,24.0
STARLINK-5049,57246,43deg,moderate,483.6301536327337,6.349536387319042,6.349536387319042,19.35896849056207,19.36532494271343,24.0
STARLINK-5049,57246,43deg,storm,483.6301536327337,7.6146939209634885,7.6146939209634885,20.62389119022147,20.62727409857133,24.0
STARLINK-1193,45100,53deg,quiet,332.63933868091226,78.39392337239563,78.39392337239563,48.87009286046865,48.87009286046865,24.0
STARLINK-1193,45100,53deg,moderate,332.63933868091226,84.13551378109211,84.13551378109211,54.61137822277526,54.61137822277526,24.0
STARLINK-1193,45100,53deg,storm,332.63933868091226,96.24159044410835,96.24159044410835,66.71691419838595,66.71691419838595,24.0
STARLINK-34312,64711,70deg,quiet,575.9457259514011,1.3838036903659163,1.3838036903659163,3.3289157231019346,3.8441211056719355,24.0
STARLINK-34312,64711,70deg,moderate,575.9457259514011,1.5909387748003776,1.5909387748003776,3.5360353724197022,4.037934018688862,24.0
STARLINK-34312,64711,70deg,storm,575.9457259514011,1.9692858724580518,1.9692858724580518,3.9143624597221005,4.3874600278116285,24.0
STARLINK-36698,67709,97deg,quiet,470.4187130394339,7.189856343670889,7.189856343670889,5.358784283064804,6.378206275135153,24.0
STARLINK-36698,67709,97deg,moderate,470.4187130394339,8.187091728203042,8.187091728203042,6.353615519145958,7.306085306260762,24.0
STARLINK-36698,67709,97deg,storm,470.4187130394339,10.136048757118626,10.136048757118626,8.299891771115389,9.091961598276917,24.0
