method,mean_RMSE_km,mean_P95_km,mean_max_error_km,gap4h_outage_RMSE_km
SGP4,84.1445818529268,166.56480791129565,183.64220903390193,46.790646056473854
Tuned EKF,1.9714007817223875,4.0304541662487425,5.97365164724467,7.158824970248015
EKF + GRU,0.5591938164111825,1.005676459968748,3.0313599062056507,1.51391273637094
