shell,n,sgp4_mean_km,ekf_mean_km,hybrid_mean_km,gain_mean_km,win_rate,ratio_improvement_pct
43deg,36,54.886944446190824,1.6077145633065666,0.5209654950418505,1.0867490682647163,0.8611111111111112,67.59589625347505
53deg,36,158.3856908666024,3.9938242717611465,0.8388574257632563,3.15496684599789,1.0,78.99613581662803
70deg,18,65.50880558989742,0.3175782250696835,0.32415194170058126,-0.006573716630897766,0.3333333333333333,-2.069951940015846
97deg,18,12.813414902077088,0.30774879512921655,0.3113651151563001,-0.003616320027083544,0.3888888888888889,-1.1750882811954355
