schedule,overall_rmse_km,p95_error_km,max_error_km,outage_rmse_km,mean_nis,n_observations
nominal_10min,0.32502621814362503,0.6886309444249601,1.7597386982271206,,3.075927235557572,145
outage_1h,0.3300124838723023,0.6886309444249601,1.7597386982271206,0.1949405656452108,3.0347127137027656,139
outage_2h,0.3299660236005805,0.6886309444249601,1.7597386982271206,0.22557190515383113,3.0796983191717118,133
outage_4h,0.3364157357083918,0.6886309444249601,1.7597386982271206,0.24846198873076986,3.1769424007943723,121
nominal_20min,0.4971622204116545,0.8243684761089011,3.2514527105849433,,3.3938134399891187,73
