name,norad,shell,approx_alt_km,day,weather_class,schedule,rmse_sgp4_km,rmse_ekf_km,rmse_hybrid_km,p95_sgp4_km,p95_ekf_km,p95_hybrid_km,max_sgp4_km,max_ekf_km,max_hybrid_km,outage_rmse_sgp4_km,outage_rmse_ekf_km,outage_rmse_hybrid_km,hybrid_gain_km,hybrid_improvement_pct,hybrid_better
STARLINK-1676,46556,53deg,260.15095331237444,2025-12-08,quiet,nominal_10min,229.4752619690345,3.4055897315507364,0.39602466072639125,454.19839602753046,4.124597543432157,0.723908052201337,502.4827354775614,4.379028359840639,1.0174327810793735,,,,3.0095650708243453,88.37133383808798,True
STARLINK-1676,46556,53deg,260.15095331237444,2025-12-08,quiet,nominal_20min,229.4752619690345,5.019838726185784,0.786145482577916,454.19839602753046,6.4176421904099925,1.5656330010351323,502.4827354775614,6.872898048331169,2.6498844948935782,,,,4.233693243607869,84.33922830076153,True
STARLINK-1676,46556,53deg,260.15095331237444,2025-12-08,quiet,gap_4h,229.4752619690345,10.545040707451692,1.6690916483848917,454.19839602753046,28.142281755138974,2.729323034123284,502.4827354775614,44.07329332034692,18.625667815796536,127.91029461654206,23.982609214645873,2.661853354406556,8.8759490590668,84.17178563184282,True
STARLINK-1676,46556,53deg,260.15095331237444,2025-09-19,quiet,nominal_10min,223.39434503284275,3.3567593442957557,0.41826045915519716,443.1453049716474,4.032036946147925,0.7895593048017991,490.14501134337866,4.4110585740259,1.1872838009294615,,,,2.9384988851405587,87.53975438048724,True
STARLINK-1676,46556,53deg,260.15095331237444,2025-09-19,quiet,nominal_20min,223.39434503284275,4.861542982421325,0.7995374861700817,443.1453049716474,6.203345380970311,1.6180994482840176,490.14501134337866,6.769905044515192,2.195102928061784,,,,4.062005496251243,83.55383282507015,True
STARLINK-1676,46556,53deg,260.15095331237444,2025-09-19,quiet,gap_4h,223.39434503284275,10.19133361817775,1.6112476638108435,443.1453049716474,26.90569355583911,2.3940122927127043,490.14501134337866,42.64369937946195,18.593152603854346,124.41320796841092,23.090662546190053,2.3930674718399905,8.580085954366906,84.19002140272451,True
STARLINK-1676,46556,53deg,260.15095331237444,2025-03-18,moderate,nominal_10min,345.3468434413098,4.464733302827341,0.5283615524685082,683.1687153411019,5.328524552836605,0.9733697640879643,755.2660504675049,5.617244369563156,1.4719830043439681,,,,3.9363717503588327,88.16588771083107,True
STARLINK-1676,46556,53deg,260.15095331237444,2025-03-18,moderate,nominal_20min,345.3468434413098,6.497942691294363,0.9617304925600685,683.1687153411019,8.279347607263233,1.898392405307152,755.2660504675049,8.845681980634824,3.096606299513106,,,,5.536212198734295,85.19946176428195,True
STARLINK-1676,46556,53deg,260.15095331237444,2025-03-18,moderate,gap_4h,345.3468434413098,14.34111774826949,3.2355238393098027,683.1687153411019,38.02133683255314,4.377127031570784,755.2660504675049,59.67974194234696,23.338737470261332,193.07457054589634,32.56574540216357,6.835573136089437,11.105593908959687,77.4388308073112,True
STARLINK-1676,46556,53deg,260.15095331237444,2025-07-08,moderate,nominal_10min,133.76033628049163,2.3886147525721055,0.4024092778644108,264.0419524258131,2.9607492756412834,0.7553528450148711,291.95962607793257,3.2812674793905856,1.1203029330563812,,,,1.9862054747076947,83.15302719155156,True
STARLINK-1676,46556,53deg,260.15095331237444,2025-07-08,moderate,nominal_20min,133.76033628049163,3.4646333061589014,0.6453707478711455,264.0419524258131,4.607657731859156,1.2407260956708162,291.95962607793257,5.12792889031593,1.7700208350189688,,,,2.8192625582877557,81.37261029258413,True
STARLINK-1676,46556,53deg,260.15095331237444,2025-07-08,moderate,gap_4h,133.76033628049163,7.772003226625501,1.32695393377826,264.0419524258131,20.56359469924803,1.2208273054711658,291.95962607793257,32.62637972307003,13.64962133070697,75.65734203782873,17.782693662811138,2.5699920232398337,6.445049292847241,82.92648761091154,True
STARLINK-1676,46556,53deg,260.15095331237444,2025-11-12,storm,nominal_10min,383.7880101768916,4.883040394864135,0.6258787564617548,758.8898137210786,6.039048875498398,1.189089174885358,838.4295368911886,6.332601615911645,1.8798748737911484,,,,4.257161638402381,87.18260129242348,True
STARLINK-1676,46556,53deg,260.15095331237444,2025-11-12,storm,nominal_20min,383.7880101768916,7.141222333322362,1.0674876688844648,758.8898137210786,9.376283929225531,2.0432621852760056,838.4295368911886,9.924732891555145,2.8240267895716005,,,,6.073734664437897,85.0517513801054,True
STARLINK-1676,46556,53deg,260.15095331237444,2025-11-12,storm,gap_4h,383.7880101768916,16.017860620999915,4.224123829201923,758.8898137210786,42.60067127241222,7.097719794841202,838.4295368911886,66.23358034722419,28.212025780969377,211.75246348568177,36.38701249778629,9.434327018906954,11.793736791797993,73.62866409472957,True
STARLINK-1676,46556,53deg,260.15095331237444,2025-06-01,storm,nominal_10min,236.49227749167227,3.663148316381818,0.4643860707227456,475.065585206654,4.6087314692023265,0.8134975753811177,528.0529014813249,5.066384888565836,1.3351809291006358,,,,3.1987622456590725,87.32276089816011,True
STARLINK-1676,46556,53deg,260.15095331237444,2025-06-01,storm,nominal_20min,236.49227749167227,5.371762572220098,0.8473818810797488,475.065585206654,7.012606853344628,1.636686380298916,528.0529014813249,7.90678482058765,2.5155090870552796,,,,4.524380691140349,84.2252543799691,True
STARLINK-1676,46556,53deg,260.15095331237444,2025-06-01,storm,gap_4h,236.49227749167227,11.70307795685571,1.9456183254991015,475.065585206654,30.570988913124893,2.60389673679298,528.0529014813249,48.91980342917894,18.812687118107423,125.51464128130443,26.609545844536104,3.4624882138846735,9.757459631356609,83.3751570939562,True
STARLINK-32955,63117,43deg,303.21801838574265,2025-12-08,quiet,nominal_10min,85.26523266654657,1.354915515807174,0.29898946411906746,168.68110154527503,1.774267986764465,0.5610746415864739,184.50010321954647,2.0279631828673703,0.9586140440165656,,,,1.0559260516881066,77.93298101387907,True
STARLINK-32955,63117,43deg,303.21801838574265,2025-12-08,quiet,nominal_20min,85.26523266654657,1.9784518685223902,0.5324260078592723,168.68110154527503,2.6303509502175166,1.093263856818048,184.50010321954647,2.9666475902715064,1.6635745278045722,,,,1.4460258606631178,73.0887560961028,True
STARLINK-32955,63117,43deg,303.21801838574265,2025-12-08,quiet,gap_4h,85.26523266654657,4.280230112433468,1.0110255812629905,168.68110154527503,11.272716239166362,2.254410600682464,184.50010321954647,17.83375724747875,10.087653950795854,47.77768291765721,9.779375935223461,1.7113290345823966,3.2692045311704776,76.37917694363901,True
STARLINK-32955,63117,43deg,303.21801838574265,2025-09-19,quiet,nominal_10min,79.06026630766868,1.2817902556770904,0.37786445255372275,156.560074643415,1.5669435576754058,0.6984158893521412,171.28388950365206,1.7331389170180427,1.700543499101357,,,,0.9039258031233677,70.52057067214008,True
STARLINK-32955,63117,43deg,303.21801838574265,2025-09-19,quiet,nominal_20min,79.06026630766868,1.900347584970793,0.5587137001069513,156.560074643415,2.5630595102515663,1.1010797610882688,171.28388950365206,3.087272263883292,2.0535720760681375,,,,1.3416338848638416,70.59939431472277,True
STARLINK-32955,63117,43deg,303.21801838574265,2025-09-19,quiet,gap_4h,79.06026630766868,4.120865912791403,0.9715169818465972,156.560074643415,10.980932842882675,1.4131369331249863,171.28388950365206,17.283283264568865,7.750171236360995,44.139325156467116,9.455927364202338,1.727136502166817,3.1493489309448055,76.42444567703713,True
STARLINK-32955,63117,43deg,303.21801838574265,2025-03-18,moderate,nominal_10min,146.71447245370422,1.9955332490173572,0.39577000950609215,290.25043787630455,2.490270230680584,0.7300868595234357,318.0251239213263,2.610749731747446,1.3082082204260388,,,,1.599763239511265,80.16720544741725,True
STARLINK-32955,63117,43deg,303.21801838574265,2025-03-18,moderate,nominal_20min,146.71447245370422,2.874190260020489,0.6476806060737715,290.25043787630455,3.758646737024591,1.1513269414857126,318.0251239213263,4.059230692434754,2.432948484674208,,,,2.2265096539467177,77.46563214401978,True
STARLINK-32955,63117,43deg,303.21801838574265,2025-03-18,moderate,gap_4h,146.71447245370422,6.004429655219397,2.2374222053423494,290.25043787630455,15.66861195507772,5.936784083361145,318.0251239213263,25.02857869468809,17.89804354487366,82.16317049204119,13.656194172671963,4.536527887823407,3.7670074498770476,62.7371401812085,True
STARLINK-32955,63117,43deg,303.21801838574265,2025-07-08,moderate,nominal_10min,38.006249035511956,0.9793564114972784,0.37389944048117274,74.42683490670305,1.2782984487480453,0.6861310139094944,80.44390818156508,1.4662604621469695,0.8973055481804587,,,,0.6054569710161056,61.82192344975404,True
STARLINK-32955,63117,43deg,303.21801838574265,2025-07-08,moderate,nominal_20min,38.006249035511956,1.4077982016368489,0.5659925133436363,74.42683490670305,1.8960566134854495,1.0532564338170132,80.44390818156508,2.260917803544926,1.4684120511642484,,,,0.8418056882932126,59.79590592703159,True
STARLINK-32955,63117,43deg,303.21801838574265,2025-07-08,moderate,gap_4h,38.006249035511956,2.9870540200181592,0.7470849861761631,74.42683490670305,8.021962731421816,0.8076496866548506,80.44390818156508,12.351024028202048,8.420610183967815,21.757746018446817,6.836794765155242,0.6336221419181031,2.239969033841996,74.98923751731743,True
